1000.000000,1.000000,0.000314,0.999043,-0.030758
1258.925412,1.000000,0.000396,0.998484,-0.038700
1584.893192,1.000000,0.000498,0.997600,-0.048677
1995.262315,1.000000,0.000627,0.996202,-0.061194
2511.886432,1.000000,0.000789,0.993995,-0.076866
3162.277660,1.000000,0.000993,0.990516,-0.096426
3981.071706,0.999999,0.001251,0.985052,-0.120717
5011.872336,0.999999,0.001575,0.976517,-0.150643
6309.573445,0.999998,0.001982,0.963291,-0.187053
7943.282347,0.999997,0.002495,0.943055,-0.230486
10000.000000,0.999995,0.003142,0.912686,-0.280720
12589.254118,0.999992,0.003955,0.868406,-0.336068
15848.931925,0.999988,0.004979,0.806483,-0.392560
19952.623150,0.999980,0.006268,0.724765,-0.443493
25118.864315,0.999969,0.007891,0.624797,-0.480226
31622.776602,0.999951,0.009934,0.513247,-0.494857
39810.717055,0.999922,0.012507,0.400856,-0.483826
50118.723363,0.999876,0.015745,0.298682,-0.449835
63095.734448,0.999804,0.019821,0.214122,-0.400370
79432.823472,0.999689,0.024952,0.149412,-0.344172
100000.000000,0.999507,0.031411,0.102800,-0.288314
125892.541179,0.999218,0.039540,0.070665,-0.237149
158489.319246,0.998761,0.049770,0.049178,-0.192641
199526.231497,0.998036,0.062642,0.035099,-0.155172
251188.643151,0.996888,0.078831,0.025998,-0.124275
316227.766017,0.995069,0.099183,0.020163,-0.099124
398107.170553,0.992189,0.124743,0.016439,-0.078805
501187.233627,0.987630,0.156803,0.014066,-0.062457
630957.344480,0.980418,0.196926,0.012548,-0.049321
794328.234724,0.969025,0.246964,0.011565,-0.038756
1000000.000000,0.951057,0.309017,0.010908,-0.030228
