0.000000e+00,0.000000e+00
1.831563e-01,7.323330e-04
3.560668e-01,1.910138e-03
5.151335e-01,3.689849e-03
6.576080e-01,6.190956e-03
7.824617e-01,9.458187e-03
8.904410e-01,1.345909e-02
9.834324e-01,1.811163e-02
1.063719e+00,2.331656e-02
1.133494e+00,2.897853e-02
1.194648e+00,3.501530e-02
1.248731e+00,4.135952e-02
1.296983e+00,4.795728e-02
1.340387e+00,5.476579e-02
1.379725e+00,6.175108e-02
1.415622e+00,6.888601e-02
1.448579e+00,7.614876e-02
1.479002e+00,8.352163e-02
1.507227e+00,9.099013e-02
1.533528e+00,9.854228e-02
1.558133e+00,1.061681e-01
1.581236e+00,1.138593e-01
1.602999e+00,1.216087e-01
1.623562e+00,1.294103e-01
1.643043e+00,1.372590e-01
1.661545e+00,1.451502e-01
