1.000000e+03,9.995167e-01,-3.109174e-02
1.258925e+03,9.992343e-01,-3.913483e-02
1.584893e+03,9.987873e-01,-4.925312e-02
1.995262e+03,9.980801e-01,-6.197670e-02
2.511886e+03,9.969622e-01,-7.796575e-02
3.162278e+03,9.951982e-01,-9.803712e-02
3.981072e+03,9.924215e-01,-1.231914e-01
5.011872e+03,9.880680e-01,-1.546337e-01
6.309573e+03,9.812840e-01,-1.937765e-01
7.943282e+03,9.708126e-01,-2.422004e-01
1.000000e+04,9.548821e-01,-3.015339e-01
1.258925e+04,9.311658e-01,-3.731990e-01
1.584893e+04,8.969495e-01,-4.579755e-01
1.995262e+04,8.496888e-01,-5.554015e-01
2.511886e+04,7.880278e-01,-6.631974e-01
3.162278e+04,7.129556e-01,-7.770920e-01
3.981072e+04,6.283100e-01,-8.914174e-01
5.011872e+04,5.399652e-01,-1.000401e+00
6.309573e+04,4.540312e-01,-1.099512e+00
7.943282e+04,3.752041e-01,-1.186179e+00
1.000000e+05,3.060925e-01,-1.259711e+00
1.258925e+05,2.474536e-01,-1.320745e+00
1.584893e+05,1.988186e-01,-1.370644e+00
1.995262e+05,1.590919e-01,-1.411026e+00
2.511886e+05,1.269656e-01,-1.443487e+00
3.162278e+05,1.011537e-01,-1.469469e+00
3.981072e+05,8.050135e-02,-1.490208e+00
5.011872e+05,6.402109e-02,-1.506731e+00
6.309573e+05,5.089227e-02,-1.519882e+00
7.943282e+05,4.044450e-02,-1.530341e+00
1.000000e+06,3.213591e-02,-1.538655e+00
