1.000000e+03,1.000000e+00,3.141593e-04,9.990433e-01,-3.075785e-02
1.258925e+03,9.999997e-01,3.955032e-04,9.984844e-01,-3.869998e-02
1.584893e+03,9.999998e-01,4.979089e-04,9.976004e-01,-4.867679e-02
1.995262e+03,9.999999e-01,6.268301e-04,9.962024e-01,-6.119368e-02
2.511886e+03,9.999997e-01,7.891323e-04,9.939946e-01,-7.686581e-02
3.162278e+03,9.999995e-01,9.934587e-04,9.905158e-01,-9.642617e-02
3.981072e+03,9.999992e-01,1.250690e-03,9.850522e-01,-1.207169e-01
5.011872e+03,9.999988e-01,1.574525e-03,9.765168e-01,-1.506430e-01
6.309573e+03,9.999980e-01,1.982210e-03,9.632910e-01,-1.870529e-01
7.943282e+03,9.999969e-01,2.495453e-03,9.430552e-01,-2.304864e-01
1.000000e+04,9.999951e-01,3.141587e-03,9.126862e-01,-2.807200e-01
1.258925e+04,9.999922e-01,3.955021e-03,8.684056e-01,-3.360675e-01
1.584893e+04,9.999876e-01,4.979068e-03,8.064829e-01,-3.925604e-01
1.995262e+04,9.999804e-01,6.268260e-03,7.247653e-01,-4.434934e-01
2.511886e+04,9.999689e-01,7.891242e-03,6.247968e-01,-4.802257e-01
3.162278e+04,9.999507e-01,9.934425e-03,5.132472e-01,-4.948566e-01
3.981072e+04,9.999218e-01,1.250658e-02,4.008558e-01,-4.838265e-01
5.011872e+04,9.998760e-01,1.574461e-02,2.986819e-01,-4.498350e-01
6.309573e+04,9.998035e-01,1.982081e-02,2.141221e-01,-4.003699e-01
7.943282e+04,9.996887e-01,2.495197e-02,1.494124e-01,-3.441716e-01
1.000000e+05,9.995066e-01,3.141076e-02,1.027995e-01,-2.883139e-01
1.258925e+05,9.992180e-01,3.954000e-02,7.066542e-02,-2.371491e-01
1.584893e+05,9.987607e-01,4.977032e-02,4.917758e-02,-1.926406e-01
1.995262e+05,9.980361e-01,6.264197e-02,3.509944e-02,-1.551717e-01
2.511886e+05,9.968880e-01,7.883136e-02,2.599796e-02,-1.242753e-01
3.162278e+05,9.950693e-01,9.918255e-02,2.016283e-02,-9.912378e-02
3.981072e+05,9.921891e-01,1.247433e-01,1.643926e-02,-7.880493e-02
5.011872e+05,9.876299e-01,1.568028e-01,1.406609e-02,-6.245675e-02
6.309573e+05,9.804184e-01,1.969256e-01,1.254831e-02,-4.932102e-02
7.943282e+05,9.690247e-01,2.469636e-01,1.156524e-02,-3.875568e-02
1.000000e+06,9.510565e-01,3.090170e-01,1.090758e-02,-3.022815e-02
